obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
"=""691.0820""","=""0.0010""","=""30""","=""7.40e+05""",B+,"=""1""","=""1""",,
"=""692.2220""","=""0.0010""","=""8""","=""3.0e+04""",D+,"=""1""","=""2""",,
"=""692.4670""","=""0.0010""","=""15""","=""""",,"=""2""","=""2""",,
"=""692.5530""","=""0.0010""","=""100""","=""""",,"=""2""","=""3""",,
"=""693.5620""","=""0.0010""","=""50""","=""""",,"=""2""","=""2""",,
"=""693.6690""","=""0.0010""","=""8""","=""""",,"=""2""","=""1""",,
"=""696.110""","=""0.020""","=""20""","=""""",,"=""3""","=""4""",,
"=""697.6182""","=""0.0002""","=""100""","=""1.91e+06""",B,"=""3""","=""3""",,
"=""698.2050""","=""0.0010""","=""30""","=""""",,"=""3""","=""2""",,
"=""699.1650""","=""0.0010""","=""1""","=""""",,"=""1""","=""0""",,
"=""700.3100""","=""0.0010""","=""4""","=""""",,"=""3""","=""2""",,
"=""701.9020""","=""0.0010""","=""30""","=""3.5e+05""",C,"=""3""","=""3""",,
"=""703.4800""","=""0.0010""","=""3""","=""""",,"=""3""","=""2""",,
"=""703.5530""","=""0.0010""","=""20""","=""4.00e+05""",B+,"=""2""","=""1""",,
"=""704.7370""","=""0.0010""","=""30*""","=""""",,"=""2""","=""3""",,
"=""704.7370""","=""0.0010""","=""30*""","=""6.40e+05""",B+,"=""2""","=""2""",,
"=""704.9070""","=""0.0010""","=""1h""","=""""",,"=""1""","=""1""",,
"=""704.9360""","=""0.0010""","=""1h""","=""""",,"=""2""","=""2""",,
"=""705.1060""","=""0.0010""","=""3""","=""""",,"=""1""","=""2""",,
"=""707.244""","=""0.020""","=""30""","=""""",,"=""2""","=""3""",,
"=""707.8460""","=""0.0010""","=""1""","=""""",,"=""1""","=""2""",,
"=""711.9598""","=""0.0002""","=""500""","=""8.39e+06""",B,"=""3""","=""4""",,
"=""713.6570""","=""0.0010""","=""15""","=""""",,"=""2""","=""1""",,
"=""717.2700""","=""0.0010""","=""10""","=""""",,"=""4""","=""3""",,
"=""719.242""","=""0.020""","=""4""","=""""",,"=""2""","=""1""",,
"=""720.0790""","=""0.0010""","=""15""","=""""",,"=""1""","=""2""",,
"=""720.9140""","=""0.0010""","=""5""","=""""",,"=""2""","=""2""",,
"=""722.0240""","=""0.0010""","=""1""","=""""",,"=""2""","=""1""",,
"=""722.264""","=""0.020""","=""20""","=""""",,"=""2""","=""3""",,
"=""723.8200""","=""0.0010""","=""3""","=""""",,"=""2""","=""3""",,
"=""724.4940""","=""0.0010""","=""20*""","=""""",,"=""3""","=""4""",,
"=""724.4940""","=""0.0010""","=""20*""","=""""",,"=""3""","=""3""",,
"=""724.9920""","=""0.0010""","=""2""","=""""",,"=""3""","=""2""",,
"=""725.0870""","=""0.0010""","=""5h""","=""""",,"=""3""","=""3""",,
"=""725.7940""","=""0.0010""","=""60""","=""""",,"=""3""","=""4""",,
"=""726.2540""","=""0.0010""","=""20""","=""""",,"=""1""","=""2""",,
"=""726.6490""","=""0.0010""","=""25""","=""""",,"=""1""","=""1""",,
"=""728.3961""","=""0.0002""","=""40""","=""""",,"=""1""","=""2""",,
"=""728.5301""","=""0.0002""","=""60""","=""4.09e+06""",B,"=""1""","=""2""",,
"=""730.7370""","=""0.0010""","=""5h""","=""""",,"=""3""","=""4""",,
"=""731.3010""","=""0.0010""","=""1h""","=""""",,"=""3""","=""4""",,
"=""731.6272""","=""0.0002""","=""70""","=""""",,"=""1""","=""2""",,
"=""731.6870""","=""0.0010""","=""20""","=""2.5e+05""",C+,"=""1""","=""1""",,
"=""731.9940""","=""0.0010""","=""15""","=""""",,"=""2""","=""3""",,
"=""732.1452""","=""0.0002""","=""80""","=""""",,"=""1""","=""1""",,
"=""732.3050""","=""0.0010""","=""2""","=""""",,"=""2""","=""2""",,
"=""733.6480""","=""0.0002""","=""50""","=""""",,"=""2""","=""3""",,
"=""735.5580""","=""0.0010""","=""40""","=""""",,"=""0""","=""1""",,
"=""738.257""","=""0.020""","=""30""","=""""",,"=""3""","=""4""",,
"=""738.6003""","=""0.0002""","=""100""","=""1.25e+06""",B+,"=""1""","=""2""",,
"=""739.3793""","=""0.0002""","=""150""","=""4.89e+06""",B,"=""2""","=""3""",,
"=""740.0410""","=""0.0010""","=""30""","=""""",,"=""2""","=""2""",,
"=""740.4510""","=""0.0010""","=""12""","=""""",,"=""2""","=""1""",,
"=""740.5770""","=""0.0010""","=""3""","=""""",,"=""0""","=""1""",,
"=""742.4050""","=""0.0010""","=""20""","=""8.60e+05""",B,"=""2""","=""2""",,
"=""744.1940""","=""0.0010""","=""20""","=""4.7e+05""",C,"=""2""","=""3""",,
"=""745.1000""","=""0.0010""","=""25""","=""""",,"=""1""","=""2""",,
"=""747.2010""","=""0.0010""","=""40""","=""""",,"=""1""","=""2""",,
"=""747.4010""","=""0.0010""","=""25""","=""""",,"=""1""","=""1""",,
"=""749.2230""","=""0.0010""","=""20""","=""""",,"=""3""","=""3""",,
"=""750.1130""","=""0.0010""","=""20""","=""""",,"=""2""","=""2""",,
"=""751.4540""","=""0.0010""","=""8""","=""""",,"=""1""","=""0""",,
"=""751.4960""","=""0.0010""","=""3""","=""2.1e+05""",C,"=""0""","=""1""",,
"=""755.9790""","=""0.0010""","=""40""","=""""",,"=""4""","=""4""",,
"=""757.0930""","=""0.0010""","=""6""","=""""",,"=""4""","=""3""",,
"=""758.4290""","=""0.0010""","=""10""","=""""",,"=""4""","=""4""",,
"=""758.4680""","=""0.0002""","=""200""","=""""",,"=""4""","=""5""",,
"=""758.9610""","=""0.0010""","=""6""","=""""",,"=""1""","=""1""",,
"=""759.4360""","=""0.0010""","=""1""","=""""",,"=""3""","=""3""",,
"=""760.0770""","=""0.0010""","=""10""","=""""",,"=""3""","=""4""",,
"=""760.4970""","=""0.0010""","=""2h""","=""""",,"=""3""","=""3""",,
"=""760.8460""","=""0.0010""","=""5""","=""""",,"=""3""","=""2""",,
"=""760.9820""","=""0.0010""","=""3""","=""""",,"=""3""","=""4""",,
"=""764.2024""","=""0.0002""","=""500""","=""2.1e+07""",C+,"=""0""","=""1""",,
"=""764.2300""","=""0.0010""","=""""","=""""",,"=""2""","=""2""",,
"=""764.3910""","=""0.0010""","=""100""","=""""",,"=""2""","=""3""",,
"=""766.4020""","=""0.0010""","=""10""","=""""",,"=""3""","=""2""",,
"=""766.4560""","=""0.0010""","=""30""","=""""",,"=""2""","=""2""",,
"=""766.6610""","=""0.0010""","=""10""","=""""",,"=""2""","=""1""",,
"=""767.0810""","=""0.0010""","=""1""","=""""",,"=""2""","=""2""",,
"=""774.0310""","=""0.0010""","=""40""","=""""",,"=""2""","=""1""",,
"=""776.215""","=""0.020""","=""4""","=""""",,"=""1""","=""2""",,
"=""778.3660""","=""0.0010""","=""50""","=""""",,"=""2""","=""3""",,
"=""778.9420""","=""0.0010""","=""15""","=""""",,"=""2""","=""2""",,
"=""779.0530""","=""0.0010""","=""1""","=""""",,"=""2""","=""3""",,
"=""780.2651""","=""0.0002""","=""100""","=""2.28e+06""",B+,"=""2""","=""1""",,
"=""780.464""","=""0.020""","=""10""","=""""",,"=""2""","=""1""",,
"=""782.555""","=""0.020""","=""30""","=""""",,"=""2""","=""3""",,
"=""783.2980""","=""0.0010""","=""10""","=""""",,"=""1""","=""1""",,
"=""784.1230""","=""0.0010""","=""15""","=""""",,"=""3""","=""2""",,
"=""788.1320""","=""0.0002""","=""100""","=""5.50e+05""",B+,"=""2""","=""2""",,
"=""788.7393""","=""0.0002""","=""300""","=""3.5e+07""",C+,"=""1""","=""0""",,
"=""793.7410""","=""0.0010""","=""40""","=""""",,"=""0""","=""1""",,
"=""795.4220""","=""0.0010""","=""4""","=""""",,"=""1""","=""0""",,
"=""796.7342""","=""0.0002""","=""500""","=""3.4e+06""",D+,"=""0""","=""1""",,
"=""797.6030""","=""0.0010""","=""8""","=""""",,"=""2""","=""3""",,
